"","Name","Team","Minutes","FantasyPoints","Goals","Shots"
"622","Cristiano Ronaldo","Real Madrid CF",660.2,288.6,16.1,66
"623","Jesé Rodríguez","Real Madrid CF",129.1,10.8,0,2.2
"624","Nacho","Real Madrid CF",525.2,43.6,2.2,4.3
"625","Toni Kroos","Real Madrid CF",437.2,37.8,0,8.6
"626","James Rodríguez","Real Madrid CF",95.4,13.6,0,4.3
"627","Keylor Navas","Real Madrid CF",396.1,59.4,0,0
"628","Casemiro","Real Madrid CF",528.1,34.5,0,8.6
"629","Danilo","Real Madrid CF",347.7,47.7,0,4.3
"630","Lucas Vázquez","Real Madrid CF",64.5,19.8,0,0
"631","Kiko Casilla","Real Madrid CF",264.1,19.1,0,0
"632","Mateo Kovacic","Real Madrid CF",447.4,42.9,2.2,10.8
"633","Marcos Llorente","Real Madrid CF",0,0,0,0
"634","Borja Mayoral","Real Madrid CF",0,0,0,0
"635","Rubén Yáñez","Real Madrid CF",0,0,0,0
"636","Denis Cheryshev","Real Madrid CF",29.3,11.8,0,6.5
"637","Coke","Sevilla FC",600,55.4,0,10.8
"638","Iborra","Sevilla FC",101.2,6.5,0,2.2
"639","Sebastián Cristóforo","Sevilla FC",0,0,0,0
"640","Vitolo","Sevilla FC",528.1,59.8,2.2,10.8
"641","Kevin Gameiro","Sevilla FC",330.1,33,2.2,14.7
"642","Grzegorz Krychowiak","Sevilla FC",660.2,57.2,0,8.6
"643","Luismi Sánchez","Sevilla FC",0,0,0,0
"644","José Antonio Reyes","Sevilla FC",237.7,23.1,0,10.8
"645","Éver Banega","Sevilla FC",507.6,73.4,4.3,16.1
"646","Juan Muñoz","Sevilla FC",16.1,0,0,0
"647","Sergio Rico","Sevilla FC",660.2,91,0,0
"648","Benoît Trémoulinas","Sevilla FC",660.2,73,2.2,2.2
"649","Timothée Kolodziejczak","Sevilla FC",611.7,29,0,2.2
"650","Michael Krohn-Dehli","Sevilla FC",344.7,42.2,0,8.6
"651","Yevhen Konoplyanka","Sevilla FC",506.1,89.5,2.2,17.6
"652","Adil Rami","Sevilla FC",396.1,15.8,0,2.2
"653","Sergio Escudero","Sevilla FC",0,0,0,0
"654","Steven N'Zonzi","Sevilla FC",399,14.3,0,0
"655","Mariano","Sevilla FC",108.6,14.3,0,0
"656","Llorente","Sevilla FC",227.4,40.3,2.2,13.2
"657","Marco Andreolli","Sevilla FC",264.1,14,0,0
"658","David Soria","Sevilla FC",0,0,0,0
"659","Ciro Immobile","Sevilla FC",102.7,5.4,0,2.2
"660","Lisandro López","Sport Lisboa e Benfica",264.1,17.6,0,2.2
"661","Pizzi","Sport Lisboa e Benfica",318.3,34.5,0,6.5
"662","André Almeida","Sport Lisboa e Benfica",432.8,25.7,0,0
"663","Eliseu","Sport Lisboa e Benfica",660.2,62,0,8.6
"664","Luisão","Sport Lisboa e Benfica",396.1,34.5,2.2,2.2
"665","Jardel","Sport Lisboa e Benfica",660.2,26.8,0,4.3
"666","Victor Nilsson-Lindelöf","Sport Lisboa e Benfica",0,0,0,0
"667","Talisca","Sport Lisboa e Benfica",281.7,24.9,0,10.8
"668","Ljubomir Fejsa","Sport Lisboa e Benfica",164.3,11,0,0
"669","Nicolás Gaitán","Sport Lisboa e Benfica",507.6,115.2,4.3,17.6
"670","Andreas Samaris","Sport Lisboa e Benfica",327.1,15.4,0,2.2
"671","Júlio César","Sport Lisboa e Benfica",660.2,59.4,0,0
"672","Jonas","Sport Lisboa e Benfica",548.7,56.8,2.2,16.1
"673","Goncalo Guedes","Sport Lisboa e Benfica",569.2,72.6,2.2,16.1
"674","Sílvio","Sport Lisboa e Benfica",227.4,16.9,0,2.2
"675","Mehdi Carcela","Sport Lisboa e Benfica",45.5,8.1,0,0
"676","Adel Taarabt","Sport Lisboa e Benfica",0,0,0,0
"677","Ederson Moraes","Sport Lisboa e Benfica",0,0,0,0
"678","Kostas Mitroglou","Sport Lisboa e Benfica",224.5,49.9,4.3,8.6
"679","Raúl Jiménez","Sport Lisboa e Benfica",431.3,89.5,4.3,16.1
"680","Nuno Santos","Sport Lisboa e Benfica",0,0,0,0
"681","Renato Sanches","Sport Lisboa e Benfica",264.1,26.8,0,6.5
"682","Bryan Cristante","Sport Lisboa e Benfica",14.7,-0.7,0,0
"683","Victor Andrade","Sport Lisboa e Benfica",0,0,0,0
"684","Nelsinho","Sport Lisboa e Benfica",264.1,26.4,0,0
"685","Sofiane Feghouli","Valencia CF",470.9,64.2,2.2,6.5
"686","Rúben Vezo","Valencia CF",132,0,0,0
"687","Antonio Barragán","Valencia CF",132,8.6,0,0
"688","Javi Fuego","Valencia CF",387.3,14.7,0,4.3
"689","Dani Parejo","Valencia CF",660.2,77,0,16.1
"690","Pablo Piatti","Valencia CF",286.1,74.1,0,11.7
"691","Paco Alcácer","Valencia CF",462.1,16.1,0,10.3
"692","André Gomes","Valencia CF",237.7,33.4,2.2,8.6
"693","Rodrigo","Valencia CF",55.7,8.1,0,2.2
"694","Shkodran Mustafi","Valencia CF",528.1,23.8,0,4.3
"695","José Gaya","Valencia CF",528.1,62,0,0
"696","João Cancelo","Valencia CF",541.3,72.2,0,8.6
"697","Enzo Pérez","Valencia CF",529.6,58.7,0,2.2
"698","Jaume Doménech","Valencia CF",660.2,46.2,0,0
"699","Tropi","Valencia CF",0,0,0,0
"700","Santi Mina","Valencia CF",247.9,10.6,0,0
"701","Danilo","Valencia CF",110,14.7,0,0
"702","Mathew Ryan","Valencia CF",0,0,0,0
"703","Álvaro Negredo","Valencia CF",291.9,10.2,0,6.5
"704","Aymen Abdennour","Valencia CF",482.6,15.8,0,6.5
"705","Aderlan Santos","Valencia CF",177.5,8.6,0,2.2
"706","Rafael Mir","Valencia CF",82.2,3.8,0,4.3
"707","Nacho Gil","Valencia CF",0,0,0,0
"708","Lucas Orbán","Valencia CF",132,12.5,0,0
"709","Yoel","Valencia CF",0,0,0,0
"710","Rodrigo de Paul","Valencia CF",126.2,24.9,0,2.2
"711","Timm Klose","VfL Wolfsburg",149.6,14,0,0
"712","Bas Dost","VfL Wolfsburg",396.1,15.4,0,10.8
"713","Christian Träsch","VfL Wolfsburg",509,56.8,0,0
"714","Daniel Caligiuri","VfL Wolfsburg",485.6,66,2.2,16.1
"715","Luiz Gustavo","VfL Wolfsburg",264.1,26.4,0,10.8
"716","Maximilian Arnold","VfL Wolfsburg",519.3,34.8,0,6.5
"717","Max Grün","VfL Wolfsburg",0,0,0,0
"718","Marcel Schäfer","VfL Wolfsburg",240.6,35.2,0,2.2
"719","Naldo","VfL Wolfsburg",660.2,67.5,4.3,10.8
"720","Paul Seguin","VfL Wolfsburg",0,0,0,0
"721","Ricardo Rodriguez","VfL Wolfsburg",419.6,48,0,4.3
"722","Vieirinha","VfL Wolfsburg",283.1,42.2,2.2,4.3
"723","Diego Benaglio","VfL Wolfsburg",660.2,68.2,0,0
"724","Sebastian Jung","VfL Wolfsburg",164.3,18.3,0,0
"725","Josuha Guilavogui","VfL Wolfsburg",504.6,33.4,0,2.2
"726","André Schürrle","VfL Wolfsburg",410.8,61.6,2.2,16.1
"727","Koen Casteels","VfL Wolfsburg",0,0,0,0
"728","Max Kruse","VfL Wolfsburg",514.9,42.2,0,6.5
"729","Dante","VfL Wolfsburg",528.1,31.5,0,4.3
"730","Julian Draxler","VfL Wolfsburg",419.6,49.1,2.2,8.6
